Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
1,SHA-3-256,0,8501,TRUE,0.685586452,4.8125,0,0.000117686
1,SHA-512,0,8500,TRUE,0.702586651,5.71875,0,0.000117712
1,SHA-256,0,8502,TRUE,0.688740492,4.9375,0,0.000117674
1,SHA-3-512,0,8500,TRUE,0.688618898,5.90625,0,0.000117715
1,MD5,0,8501,TRUE,0.740972757,4,0,0.000117675
2,SHA-3-256,0,8502,TRUE,0.733552933,4.8125,0,0.000117672
2,SHA-512,0,8503,TRUE,0.742515564,5.71875,0,0.000117671
2,SHA-256,0,8504,TRUE,0.736789942,4.9375,0,0.000117646
2,SHA-3-512,0,8502,TRUE,0.824462891,5.90625,0,0.000117687
2,MD5,0.000524998,8502,TRUE,0.663851261,4,0,0.000117661
3,SHA-3-256,0,8503,TRUE,0.725245953,4.8125,0,0.000117658
3,SHA-512,0.000560999,8500,TRUE,0.83720088,5.71875,0,0.000117712
3,SHA-256,0,8504,TRUE,0.828104734,4.9375,0,0.000117646
3,SHA-3-512,0,8501,TRUE,0.879112482,5.90625,0,0.000117701
3,MD5,0,8500,TRUE,0.856847763,4,0,0.000117689
4,SHA-3-256,0,8501,TRUE,0.84941411,4.8125,0,0.000117686
4,SHA-512,0,8504,TRUE,0.767245531,5.71875,0,0.000117657
4,SHA-256,0,8501,TRUE,0.780585527,4.9375,0,0.000117688
4,SHA-3-512,0,8502,TRUE,1.295942545,5.90625,0,0.000117687
4,MD5,0,8504,TRUE,0.990323305,4,0,0.000117633
5,SHA-3-256,0.001195192,8502,TRUE,0.971477985,4.8125,0,0.000117672
5,SHA-512,0,8502,TRUE,0.840075254,5.71875,0,0.000117685
5,SHA-256,0.000963211,8503,TRUE,0.723759651,4.9375,0,0.00011766
5,SHA-3-512,0.000133753,8501,TRUE,0.775574684,5.90625,0,0.000117701
5,MD5,0,8502,TRUE,0.871342421,4,0,0.000117661
6,SHA-3-256,0,8501,TRUE,0.900288343,4.8125,0,0.000117686
6,SHA-512,0,8500,TRUE,0.766899586,5.71875,0,0.000117712
